Id,Temperature (K),Star type,Star type (name),Star color,Spectral Class
1,3068,0,Brown Dwarf,Red,M
2,3042,0,Brown Dwarf,Red,M
3,2600,0,Brown Dwarf,Red,M
4,2800,0,Brown Dwarf,Red,M
5,1939,0,Brown Dwarf,Red,M
6,2840,0,Brown Dwarf,Red,M
7,2637,0,Brown Dwarf,Red,M
8,2600,0,Brown Dwarf,Red,M
9,2650,0,Brown Dwarf,Red,M
10,2700,0,Brown Dwarf,Red,M
11,3600,1,Red Dwarf,Red,M
12,3129,1,Red Dwarf,Red,M
13,3134,1,Red Dwarf,Red,M
14,3628,1,Red Dwarf,Red,M
15,2650,1,Red Dwarf,Red,M
16,3340,1,Red Dwarf,Red,M
17,2799,1,Red Dwarf,Red,M
18,3692,1,Red Dwarf,Red,M
19,3192,1,Red Dwarf,Red,M
20,3441,1,Red Dwarf,Red,M
21,25000,2,White Dwarf,Blue White,B
22,7740,2,White Dwarf,White,A
23,7220,2,White Dwarf,White,F
24,8500,2,White Dwarf,White,A
25,16500,2,White Dwarf,Blue White,B
26,12990,2,White Dwarf,Yellow White,F
27,8570,2,White Dwarf,Blue White,A
28,7700,2,White Dwarf,Yellow White,F
29,11790,2,White Dwarf,Yellow White,F
30,7230,2,White Dwarf,Yellow White,F
31,39000,3,Main Sequence,Blue,O
32,30000,3,Main Sequence,Blue White,B
33,15276,3,Main Sequence,Blue White,B
34,9700,3,Main Sequence,White,B
35,5800,3,Main Sequence,Yellow White,F
36,8052,3,Main Sequence,White,A
37,6757,3,Main Sequence,Yellow White,F
38,6380,3,Main Sequence,Yellow White,F
39,5936,3,Main Sequence,Yellow White,F
40,5587,3,Main Sequence,Yellow White,F
41,3826,4,Supergiant,Red,M
42,3365,4,Supergiant,Red,M
43,3270,4,Supergiant,Red,M
44,3200,4,Supergiant,Red,M
45,3008,4,Supergiant,Red,M
46,3600,4,Supergiant,Red,M
47,3575,4,Supergiant,Red,M
48,3574,4,Supergiant,Red,M
49,3625,4,Supergiant,Red,M
50,33750,4,Supergiant,Blue,B
51,3490,5,Hypergiant,Red,M
52,3750,5,Hypergiant,Red,M
53,3834,5,Hypergiant,Red,M
54,3749,5,Hypergiant,Orange,M
55,3650,5,Hypergiant,Red,M
56,3450,5,Hypergiant,Red,M
57,3660,5,Hypergiant,Red,M
58,3450,5,Hypergiant,Red,M
59,3752,5,Hypergiant,Red,M
60,3535,5,Hypergiant,Red,M
61,3341,0,Brown Dwarf,Red,M
62,3432,0,Brown Dwarf,Red,M
63,2983,0,Brown Dwarf,Red,M
64,2835,0,Brown Dwarf,Red,M
65,2935,0,Brown Dwarf,Red,M
66,3295,0,Brown Dwarf,Red,M
67,2945,0,Brown Dwarf,Red,M
68,2817,0,Brown Dwarf,Red,M
69,2774,0,Brown Dwarf,Red,M
70,2871,0,Brown Dwarf,Red,M
71,3345,1,Red Dwarf,Red,M
72,3607,1,Red Dwarf,Red,M
73,3304,1,Red Dwarf,Red,M
74,3150,1,Red Dwarf,Red,M
75,3550,1,Red Dwarf,Red,M
76,3180,1,Red Dwarf,Red,M
77,2890,1,Red Dwarf,Red,M
78,3342,1,Red Dwarf,Red,M
79,2621,1,Red Dwarf,Red,M
80,3158,1,Red Dwarf,Red,M
81,7100,2,White Dwarf,Yellow White,F
82,10574,2,White Dwarf,White,F
83,8930,2,White Dwarf,White,A
84,17200,2,White Dwarf,Blue White,B
85,14100,2,White Dwarf,Blue White,B
86,9675,2,White Dwarf,Blue White,A
87,12010,2,White Dwarf,Blue White,B
88,10980,2,White Dwarf,Blue White,B
89,13720,2,White Dwarf,White,F
90,19860,2,White Dwarf,Blue,B
91,5300,3,Main Sequence,Yellow White,F
92,4526,3,Main Sequence,Yellow White,K
93,4077,3,Main Sequence,Yellow White,K
94,4980,3,Main Sequence,Yellow White,K
95,9030,3,Main Sequence,Blue White,A
96,11250,3,Main Sequence,Blue White,A
97,5112,3,Main Sequence,Orange,K
98,7720,3,Main Sequence,Yellow White,F
99,12098,3,Main Sequence,Blue White,A
100,36108,3,Main Sequence,Blue,O
101,33300,4,Supergiant,Blue,B
102,40000,4,Supergiant,Blue,O
103,23000,4,Supergiant,Blue,O
104,17120,4,Supergiant,Blue,O
105,11096,4,Supergiant,Blue,O
106,14245,4,Supergiant,Blue,O
107,24630,4,Supergiant,Blue,O
108,12893,4,Supergiant,Blue,O
109,24345,4,Supergiant,Blue,O
110,33421,4,Supergiant,Blue,O
111,3459,5,Hypergiant,Red,M
112,3605,5,Hypergiant,Red,M
113,3615,5,Hypergiant,Red,M
114,3399,5,Hypergiant,Red,M
115,3610,5,Hypergiant,Red,M
116,3553,5,Hypergiant,Red,M
117,4015,5,Hypergiant,Red,K
118,3625,5,Hypergiant,Red,M
119,6850,5,Hypergiant,Red,G
120,3780,5,Hypergiant,Red,M
121,3323,0,Brown Dwarf,Red,M
122,3531,0,Brown Dwarf,Red,M
123,3218,0,Brown Dwarf,Red,M
124,3146,0,Brown Dwarf,Red,M
125,3511,0,Brown Dwarf,Red,M
126,3225,0,Brown Dwarf,Red,M
127,2935,0,Brown Dwarf,Red,M
128,2861,0,Brown Dwarf,Red,M
129,2856,0,Brown Dwarf,Red,M
130,2731,0,Brown Dwarf,Red,M
131,3095,1,Red Dwarf,Red,M
132,3607,1,Red Dwarf,Red,M
133,3100,1,Red Dwarf,Red,M
134,2989,1,Red Dwarf,Red,M
135,3542,1,Red Dwarf,Red,M
136,3243,1,Red Dwarf,Red,M
137,3091,1,Red Dwarf,Red,M
138,3598,1,Red Dwarf,Red,M
139,3324,1,Red Dwarf,Red,M
140,3541,1,Red Dwarf,Red,M
141,13420,2,White Dwarf,Blue White,B
142,21020,2,White Dwarf,Blue,B
143,18290,2,White Dwarf,Blue,B
144,14520,2,White Dwarf,Blue White,B
145,11900,2,White Dwarf,Blue White,B
146,8924,2,White Dwarf,Blue White,A
147,12912,2,White Dwarf,Blue White,B
148,14732,2,White Dwarf,White,F
149,7723,2,White Dwarf,White,A
150,12984,2,White Dwarf,Blue White,B
151,29560,3,Main Sequence,Blue White,B
152,8945,3,Main Sequence,Blue White,A
153,14060,3,Main Sequence,Blue White,A
154,16390,3,Main Sequence,Blue White,B
155,25070,3,Main Sequence,Blue White,B
156,28700,3,Main Sequence,Blue White,B
157,26140,3,Main Sequence,Blue White,B
